team_name,season,player_id,player_position
Atlanta Hawks,2017-18,b/bembrde01,SF
Atlanta Hawks,2017-18,b/brussni01,SF
Atlanta Hawks,2017-18,c/cavanty01,PF
Atlanta Hawks,2017-18,c/clevean01,SG
Atlanta Hawks,2017-18,c/collijo01,PF
Atlanta Hawks,2017-18,d/dedmode01,C
Atlanta Hawks,2017-18,d/delanma01,PG
Atlanta Hawks,2017-18,d/dorsety01,SG
Atlanta Hawks,2017-18,e/evansje01,SF
Atlanta Hawks,2017-18,i/ilyaser01,PF
Atlanta Hawks,2017-18,l/leeda03,SG
Atlanta Hawks,2017-18,m/magetjo01,PG
Atlanta Hawks,2017-18,m/morrija01,SG
Atlanta Hawks,2017-18,m/muscami01,C
Atlanta Hawks,2017-18,p/plumlmi01,C
Atlanta Hawks,2017-18,p/princta02,SF
Atlanta Hawks,2017-18,s/schrode01,PG
Atlanta Hawks,2017-18,t/taylois01,PG
Atlanta Hawks,2017-18,w/whitean01,SF
Atlanta Hawks,2016-17,b/bazemke01,SF
Atlanta Hawks,2016-17,b/bembrde01,SF
Atlanta Hawks,2016-17,c/caldejo01,PG
Atlanta Hawks,2016-17,d/delanma01,PG
Atlanta Hawks,2016-17,d/dunlemi02,SF
Atlanta Hawks,2016-17,h/hardati02,SG
Atlanta Hawks,2016-17,h/howardw01,C
Atlanta Hawks,2016-17,h/humphkr01,PF
Atlanta Hawks,2016-17,i/ilyaser01,PF
Atlanta Hawks,2016-17,k/kellyry01,PF
Atlanta Hawks,2016-17,k/korveky01,SG
Atlanta Hawks,2016-17,m/millspa01,PF
Atlanta Hawks,2016-17,m/muscami01,C
Atlanta Hawks,2016-17,n/nealga01,SG
Atlanta Hawks,2016-17,p/pattela01,SG
Atlanta Hawks,2016-17,p/princta02,SF
Atlanta Hawks,2016-17,s/schrode01,PG
Atlanta Hawks,2016-17,s/scottmi01,PF
Atlanta Hawks,2016-17,s/sefolth01,SF
Atlanta Hawks,2016-17,t/tavarwa01,C
Atlanta Hawks,2015-16,b/bazemke01,SF
Atlanta Hawks,2015-16,h/hardati02,SG
