,id,name,pos,shoots,age,is_alive,height,weight,career length,is_active,has_hall_of_fame,count_allstar,stat_games,stat_points,stat_total_rebounds,stat_assists,stat_field_goal_pct,stat_three_point_field_goal_pct,stat_effective_field_goal_pct,stat_free_throw_pct,stat_efficiency_rating,stat_win_shares
495,j/jeffeal01,Al Jefferson,Center and Power Forward,Right,41.035616438356165,True,208,131,14,False,False,0,915.0,15.7,8.4,1.5,49.9,12.1,71.1,49.9,20.6,71.0
496,l/leeco01,Courtney Lee,Shooting Guard,Right,40.29041095890411,True,196,97,12,False,False,0,811.0,9.6,2.6,1.7,45.1,38.8,85.3,51.8,12.2,39.3
497,b/buzelma01,Matas Buzelis,Small Forward and Power Forward,Right,21.24931506849315,True,203,94,1,True,False,0,116.0,10.5,4.0,1.2,46.8,35.6,79.5,55.1,13.4,3.3
498,v/vucevni01,Nikola VuÄeviÄ,Center,Right,35.23013698630137,True,206,117,14,True,False,2,1007.0,17.2,10.4,2.9,49.8,35.1,77.1,53.0,20.0,82.4
499,w/willipa01,Patrick Williams,Power Forward,Right,24.383561643835616,True,198,97,5,True,False,0,310.0,9.2,3.9,1.4,44.6,39.2,76.0,52.6,10.5,8.5
500,g/giddejo01,Josh Giddey,"Point Guard, Shooting Guard, Power Forward, and Small Forward",Right,23.26027397260274,True,201,97,4,True,False,0,310.0,14.6,7.6,6.4,46.4,33.7,76.3,51.3,16.8,16.2
501,s/smithja04,Jalen Smith,Center and Power Forward,Right,25.83013698630137,True,203,97,5,True,False,0,301.0,8.5,5.4,0.9,50.2,33.6,75.6,57.3,18.0,13.4
502,d/dosunay01,Ayo Dosunmu,Shooting Guard,Right,25.991780821917807,True,193,90,4,True,False,0,309.0,10.6,2.9,3.3,50.1,36.9,78.8,57.2,12.2,14.3
503,j/jonestr01,Tre Jones,Point Guard,Right,26.016438356164382,True,185,83,5,True,False,0,327.0,8.7,2.8,4.7,49.2,30.7,84.0,52.6,15.5,17.0
504,o/okorois01,Isaac Okoro,Shooting Guard and Small Forward,Right,24.964383561643835,True,193,102,5,True,False,0,362.0,8.1,2.8,1.6,46.8,35.0,73.3,54.4,10.1,16.9
505,p/phillju01,Julian Phillips,Small Forward,Right,22.18904109589041,True,198,89,2,True,False,0,145.0,3.7,1.7,0.4,43.8,32.5,77.2,52.4,9.6,2.4
506,t/terryda01,Dalen Terry,Shooting Guard,Right,23.506849315068493,True,198,88,3,True,False,0,191.0,3.4,1.6,1.2,44.6,29.4,65.0,50.6,10.2,2.5
507,w/whiteco01,Coby White,Point Guard and Shooting Guard,Right,25.90958904109589,True,193,88,6,True,False,0,439.0,15.3,3.6,3.9,43.3,36.7,85.9,52.6,13.4,18.3
508,c/colliza01,Zach Collins,Center and Power Forward,Right,28.153424657534245,True,206,113,7,True,False,0,388.0,8.0,4.9,1.8,48.5,33.4,76.5,53.6,13.9,12.4
509,m/milleem01,Emanuel Miller,Power Forward,Right,25.56986301369863,True,196,97,1,True,False,0,11.0,2.3,1.0,0.5,47.6,28.6,75.0,52.4,16.4,0.2
510,o/olbrila01,Lachlan Olbrich,Center and Power Forward,Right,22.03835616438356,True,203,107,0,True,False,0,6.0,0.3,2.2,0.8,14.3,0.0,,14.3,0.2,-0.1
511,f/flowetr01,Trentyn Flowers,Small Forward,Right,20.84931506849315,True,206,83,1,True,False,0,8.0,1.9,0.6,0.1,42.9,0.0,100.0,42.9,6.6,0.0
512,e/essenno01,Noa Essengue,Power Forward,Right,19.068493150684933,True,203,90,0,True,False,0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,-12.0,-0.1
513,b/balllo01,Lonzo Ball,Point Guard,Right,28.216438356164385,True,196,86,6,True,False,0,314.0,10.8,5.3,5.7,39.3,35.6,60.5,50.2,13.1,13.2
514,d/duartch01,Chris Duarte,Small Forward and Shooting Guard,Right,28.589041095890412,True,196,86,4,True,False,0,177.0,7.6,2.6,1.3,40.6,34.9,81.3,48.9,10.5,1.9
515,h/hortota01,Talen Horton-Tucker,Shooting Guard and Point Guard,Right,25.134246575342466,True,193,106,6,True,False,0,305.0,9.2,2.6,2.8,42.7,29.9,77.1,47.8,12.8,6.0
516,l/lavinza01,Zach LaVine,"Shooting Guard, Small Forward, and Point Guard",Right,30.852054794520548,True,196,90,11,True,False,2,678.0,20.8,4.0,3.9,47.0,39.1,83.4,54.5,17.2,38.0
517,s/sanogad01,Adama Sanogo,Power Forward and Center,Right,23.91780821917808,True,206,111,2,True,False,0,13.0,3.4,3.2,0.1,52.9,,66.7,52.9,20.3,0.2
518,y/youngja05,Jahmir Young,Point Guard,Left,25.268493150684932,True,183,83,1,True,False,0,11.0,1.9,0.5,0.9,50.0,42.9,100.0,59.4,12.2,0.1
519,b/bitimon01,Onuralp Bitim,Shooting Guard,Right,26.791780821917808,True,198,97,1,True,False,0,23.0,3.5,1.4,0.6,38.1,27.3,80.0,45.2,5.0,-0.1
520,c/carusal01,Alex Caruso,Point Guard and Shooting Guard,Right,31.87945205479452,True,196,84,8,True,False,0,443.0,6.8,2.9,2.8,43.9,37.1,76.2,53.2,12.5,21.9
521,d/derozde01,DeMar DeRozan,"Shooting Guard, Small Forward, and Power Forward",Right,36.443835616438356,True,198,99,16,True,False,6,1223.0,21.2,4.4,4.1,47.0,30.2,84.3,48.6,18.9,111.2
522,d/drellhe01,Henri Drell,Small Forward,Right,25.720547945205478,True,203,83,1,True,False,0,4.0,2.8,1.0,1.0,40.0,33.3,50.0,50.0,10.7,0.0
523,f/funkan01,Andrew Funk,Shooting Guard,Right,26.315068493150687,True,196,90,1,True,False,0,5.0,0.0,0.0,0.0,0.0,0.0,,0.0,-5.0,-0.1
524,t/taylote01,Terry Taylor,Power Forward,Left,26.30958904109589,True,196,104,4,True,False,0,98.0,4.6,2.6,0.6,57.9,28.8,68.7,60.7,15.7,3.0
525,b/beverpa01,Patrick Beverley,Point Guard and Shooting Guard,Right,37.515068493150686,True,188,81,12,True,False,0,666.0,8.3,4.1,3.4,41.3,37.1,76.0,51.7,12.2,40.2
526,b/bradlto01,Tony Bradley,Center,Right,28.016438356164382,True,208,112,7,True,False,0,222.0,4.4,3.8,0.5,62.4,43.8,67.8,62.9,18.7,8.7
527,j/jonesca03,Carlik Jones,Point Guard,Right,28.06027397260274,True,183,78,2,True,False,0,12.0,2.0,0.7,0.9,29.2,42.9,70.0,35.4,7.4,0.0
528,j/jonesde02,Derrick Jones Jr.,Small Forward and Power Forward,Left,28.912328767123288,True,198,95,9,True,False,0,514.0,7.3,3.3,0.8,50.9,32.9,70.8,57.1,13.1,24.7
529,s/simonma01,Marko Simonovic,Center,Right,26.24931506849315,True,213,99,2,True,False,0,16.0,1.4,0.8,0.0,27.3,22.2,69.2,31.8,6.4,0.0
530,b/belljo01,Jordan Bell,Center,Right,31.02191780821918,True,203,97,5,True,False,0,161.0,3.7,3.1,1.2,55.2,20.0,63.6,55.6,15.0,4.9
531,b/browntr01,Troy Brown Jr.,Small Forward,Right,26.465753424657535,True,201,97,6,True,False,0,356.0,6.2,3.6,1.4,42.3,35.1,78.3,50.1,10.7,8.6
532,d/dotsode01,Devon Dotson,Point Guard,Right,26.45205479452055,True,185,83,3,True,False,0,28.0,2.0,0.9,1.1,42.6,20.0,55.6,46.3,11.0,0.2
533,m/mccluma01,Mac McClung,Shooting Guard and Point Guard,Right,27.02191780821918,True,188,83,3,True,False,0,9.0,5.8,2.0,1.6,41.3,28.0,70.0,48.9,12.5,0.1
534,m/mckinal01,Alfonzo McKinnie,Small Forward,Right,33.32876712328767,True,201,97,5,True,False,0,182.0,4.0,2.5,0.3,46.7,32.6,58.3,53.5,10.4,3.1
535,t/thomama02,Matt Thomas,Shooting Guard,Right,31.44931506849315,True,190,86,3,False,False,0,126.0,4.0,1.2,0.5,43.3,40.4,80.4,56.6,10.9,2.0
536,a/aminual01,Al-Farouq Aminu,Power Forward and Small Forward,Right,35.320547945205476,True,206,99,11,False,False,0,711.0,7.5,6.0,1.2,42.0,33.2,74.6,47.8,12.2,27.6
537,a/arcidry01,Ryan Arcidiacono,Point Guard,Right,31.80821917808219,True,190,88,7,True,False,0,257.0,4.0,1.8,1.9,42.1,36.9,80.7,52.7,9.8,6.0
538,c/cartewe01,Wendell Carter Jr.,Center and Power Forward,Right,26.747945205479454,True,208,122,7,True,False,0,418.0,12.0,8.2,2.0,51.0,32.4,73.1,55.4,16.1,30.3
539,f/feliccr01,Cristiano FelÃ­cio,Center,Right,33.52602739726027,True,211,122,6,False,False,0,252.0,4.3,3.9,0.7,57.2,0.0,67.3,57.2,14.0,9.0
540,g/gaffoda01,Daniel Gafford,Center and Power Forward,Right,27.28767123287671,True,208,120,6,True,False,0,403.0,9.2,5.7,1.0,70.5,0.0,67.9,70.5,21.1,32.7
541,h/hutchch01,Chandler Hutchison,Small Forward,Right,29.720547945205478,True,198,95,4,True,False,0,103.0,5.4,3.7,0.8,44.2,30.9,64.3,47.6,9.4,1.1
