,season,rank,player_id,won_at_age,team_name,player_position,points
208,2023-2024,9,f/foxde01,26,SAC,PG,1966
209,2023-2024,10,c/curryst01,35,GSW,PG,1956
210,2023-2024,11,d/derozde01,34,CHI,SF,1897
211,2023-2024,12,d/davisan02,30,LAL,C,1876
212,2023-2024,13,b/bookede01,27,PHO,PG,1841
213,2023-2024,14,j/jamesle01,39,LAL,PF,1822
214,2023-2024,15,m/maxeyty01,23,PHI,PG,1816
215,2023-2024,16,b/banchpa01,21,ORL,PF,1804
216,2023-2024,17,l/lillada01,33,MIL,PG,1775
217,2023-2024,18,m/murrade01,27,ATL,SG,1753
218,2023-2024,19,s/siakapa01,29,2TM,PF,1737
219,2023-2024,20,g/georgpa01,33,LAC,PF,1671
220,2023-2024,21,l/leonaka01,32,LAC,SF,1613
221,2023-2024,22,b/brownja02,27,BOS,SF,1610
222,2023-2024,23,g/greenja05,21,HOU,SG,1610
223,2023-2024,24,b/bridgmi01,27,BRK,SF,1606
224,2023-2024,25,w/willizi01,23,NOP,PF,1601
225,2023-2024,26,s/sabondo01,27,SAC,C,1593
226,2023-2024,27,k/kuzmaky01,28,WAS,PF,1553
227,2023-2024,28,w/wembavi01,20,SAS,C,1522
228,2023-2024,29,w/whiteco01,23,CHI,PG,1509
229,2023-2024,30,i/irvinky01,31,DAL,SG,1487
230,2023-2024,31,j/jacksja02,24,MEM,C,1486
231,2023-2024,32,t/thomaca02,22,BRK,SG,1482
232,2023-2024,33,m/mitchdo01,27,CLE,SG,1463
233,2023-2024,34,s/sextoco01,25,UTA,SG,1458
234,2023-2024,35,b/bridgmi02,25,CHO,SF,1449
235,2023-2024,36,w/wagnefr01,22,ORL,SF,1421
236,2023-2024,37,c/cunnica01,22,DET,PG,1405
237,2023-2024,38,h/halibty01,23,IND,PG,1389
238,2023-2024,39,y/youngtr01,25,ATL,PG,1389
239,2023-2024,40,t/thompkl01,33,GSW,SF,1375
240,2023-2024,41,v/vucevni01,33,CHI,C,1370
241,2023-2024,42,r/russeda01,27,LAL,PG,1369
242,2023-2024,43,a/adebaba01,26,MIA,C,1367
243,2023-2024,44,h/holmgch01,21,OKC,C,1357
244,2023-2024,45,p/poolejo01,24,WAS,SG,1356
245,2023-2024,46,p/portemi01,25,DEN,SF,1356
246,2023-2024,47,w/willija06,22,OKC,PF,1355
247,2023-2024,48,e/embiijo01,29,PHI,C,1353
248,2023-2024,49,t/townska01,28,MIN,PF,1349
249,2023-2024,50,b/bogdabo01,31,ATL,SG,1333
