team_name,season,player_name,player_id,player_position
Boston Celtics,2022-23,JD Davison,d/davisjd01,SG
Boston Celtics,2022-23,Blake Griffin,g/griffbl01,C
Boston Celtics,2022-23,Sam Hauser,h/hausesa01,SF
Boston Celtics,2022-23,Al Horford,h/horfoal01,C
Boston Celtics,2022-23,Justin Jackson,j/jacksju01,SF
Boston Celtics,2022-23,Mfiondu Kabengele,k/kabenmf01,PF
Boston Celtics,2022-23,Luke Kornet,k/kornelu01,C
Boston Celtics,2022-23,Mike Muscala,m/muscami01,C
Boston Celtics,2022-23,Payton Pritchard,p/pritcpa01,PG
Boston Celtics,2022-23,Marcus Smart,s/smartma01,PG
Boston Celtics,2022-23,Jayson Tatum,t/tatumja01,SF
Boston Celtics,2022-23,Noah Vonleh,v/vonleno01,C
Boston Celtics,2022-23,Derrick White,w/whitede01,SG
Boston Celtics,2022-23,Grant Williams,w/willigr01,PF
Boston Celtics,2022-23,Robert Williams,w/williro04,C
Boston Celtics,2021-22,Jaylen Brown,b/brownja02,SF
Boston Celtics,2021-22,Bruno Fernando,f/fernabr01,C
Boston Celtics,2021-22,Malik Fitts,f/fittsma01,PF
Boston Celtics,2021-22,Enes Freedom,k/kanteen01,C
Boston Celtics,2021-22,Sam Hauser,h/hausesa01,SF
Boston Celtics,2021-22,Juancho Hernangómez,h/hernaju01,PF
Boston Celtics,2021-22,Al Horford,h/horfoal01,C
Boston Celtics,2021-22,Justin Jackson,j/jacksju01,SF
Boston Celtics,2021-22,Joe Johnson,j/johnsjo02,SG
Boston Celtics,2021-22,Luke Kornet,k/kornelu01,C
Boston Celtics,2021-22,Romeo Langford,l/langfro01,SG
Boston Celtics,2021-22,Kelan Martin,m/martike03,SF
Boston Celtics,2021-22,C.J. Miles,m/milescj01,SG
Boston Celtics,2021-22,Juwan Morgan,m/morgaju01,PF
Boston Celtics,2021-22,Aaron Nesmith,n/nesmiaa01,SF
Boston Celtics,2021-22,Jabari Parker,p/parkeja01,PF
Boston Celtics,2021-22,Payton Pritchard,p/pritcpa01,PG
Boston Celtics,2021-22,Josh Richardson,r/richajo01,SG
Boston Celtics,2021-22,Matt Ryan,r/ryanma01,SF
Boston Celtics,2021-22,Dennis Schröder,s/schrode01,PG
Boston Celtics,2021-22,Marcus Smart,s/smartma01,PG
Boston Celtics,2021-22,Nik Stauskas,s/stausni01,SG
Boston Celtics,2021-22,Jayson Tatum,t/tatumja01,SF
Boston Celtics,2021-22,Daniel Theis,t/theisda01,C
Boston Celtics,2021-22,Brodric Thomas,t/thomabr01,SG
Boston Celtics,2021-22,Derrick White,w/whitede01,SG
Boston Celtics,2021-22,Grant Williams,w/willigr01,PF
Boston Celtics,2021-22,Robert Williams,w/williro04,C
Boston Celtics,2020-21,Jaylen Brown,b/brownja02,SG
Boston Celtics,2020-21,Carsen Edwards,e/edwarca01,SG
Boston Celtics,2020-21,Tacko Fall,f/fallta01,C
Boston Celtics,2020-21,Evan Fournier,f/fournev01,SF
Boston Celtics,2020-21,Javonte Green,g/greenja02,SF
Boston Celtics,2020-21,Luke Kornet,k/kornelu01,C
Boston Celtics,2020-21,Romeo Langford,l/langfro01,SG
Boston Celtics,2020-21,Aaron Nesmith,n/nesmiaa01,SF
Boston Celtics,2020-21,Semi Ojeleye,o/ojelese01,PF
Boston Celtics,2020-21,Jabari Parker,p/parkeja01,PF
Boston Celtics,2020-21,Payton Pritchard,p/pritcpa01,SG
